Override Genre
Travel & Architecture ▾
Portfolio Category
auto ▾
If you choose a different genre than the model assigned, PhotoCat automatically marks the original decision as wrong and keeps your override active.

This item still needs a portfolio mapping decision. Without an override it will stay excluded from the portfolio export.

[Device] Windows AMD64 | PyTorch 2.5.1+cu124
[Device] GPU: NVIDIA GeForce RTX 3060 Ti | VRAM: 8191 MB total, ~8191 MB free
[Device] Compute: CUDA
Input: F:\Disco2 PORTFOLIO\WebSIte\lr
Cache: F:\Disco2 PORTFOLIO\WebSIte\lr\.photocat_cache
Found 274 image(s). write-xmp=False, workers=1
[111/274] [cache] test2024-111.jpg: Genre=Branding & Portrait (conf=0.84, status=auto, 3ms)
[112/274] [cache] test2024-112.jpg: Genre=Nature & Landscape (conf=0.66, status=review, 3ms)
[113/274] [cache] test2024-113.jpg: Genre=Branding & Portrait (conf=0.85, status=auto, 3ms)
[114/274] [cache] test2024-114.jpg: Genre=Branding & Portrait (conf=0.92, status=auto, 4ms)
[115/274] [cache] test2024-115.jpg: Genre=Street Documentary (conf=0.83, status=review, 3ms)
[116/274] [cache] test2024-116.jpg: Genre=Branding & Portrait (conf=0.80, status=auto, 4ms)
[117/274] [cache] test2024-117.jpg: Genre=Branding & Portrait (conf=0.69, status=review, 3ms)
[118/274] [cache] test2024-118.jpg: Genre=Nature & Landscape (conf=0.73, status=review, 3ms)
[119/274] [cache] test2024-119.jpg: Genre=Street Documentary (conf=0.89, status=review, 3ms)
[120/274] [cache] test2024-120.jpg: Genre=Nature & Landscape (conf=0.82, status=auto, 3ms)
[121/274] [cache] test2024-121.jpg: Genre=Branding & Portrait (conf=0.62, status=review, 4ms)
[122/274] [cache] test2024-122.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[123/274] [cache] test2024-123.jpg: Genre=Branding & Portrait (conf=0.93, status=auto, 3ms)
[124/274] [cache] test2024-124.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 4ms)
[125/274] [cache] test2024-125.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[126/274] [cache] test2024-126.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[127/274] [cache] test2024-127.jpg: Genre=Branding & Portrait (conf=0.80, status=review, 3ms)
[128/274] [cache] test2024-128.jpg: Genre=Branding & Portrait (conf=0.89, status=auto, 5ms)
[129/274] [cache] test2024-129.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[130/274] [cache] test2024-130.jpg: Genre=Branding & Portrait (conf=0.83, status=auto, 3ms)
