filename,rating,final_genre,review_status,model_1st,model_1st_conf,model_2nd,model_2nd_conf,title
test2024-060.jpg,,Portrait Photography,review,Portrait Photography,0.5852,Nature Photography,0.3367,
test2024-061.jpg,,Portrait Photography,review,Portrait Photography,0.5594,Nature Photography,0.3734,
test2024-062.jpg,,Nature Photography,auto,Nature Photography,0.8336,Portrait Photography,0.0921,
test2024-063.jpg,,Nature Photography,review,Nature Photography,0.7219,Portrait Photography,0.2091,
test2024-064.jpg,,Nature Photography,auto,Nature Photography,0.8944,Portrait Photography,0.0944,
test2024-065.jpg,,Street Photography,review,Street Photography,0.7618,Portrait Photography,0.1410,
test2024-066.jpg,,Street Photography,auto,Street Photography,0.9460,Portrait Photography,0.0529,
test2024-067.jpg,,Street Photography,auto,Street Photography,0.8642,Portrait Photography,0.0978,
test2024-068.jpg,,Street Photography,review,Street Photography,0.6123,Music Photography,0.2962,
test2024-069.jpg,,Street Photography,auto,Street Photography,0.8682,Portrait Photography,0.0563,
test2024-070.jpg,,Street Photography,auto,Street Photography,0.8664,Nature Photography,0.0640,
test2024-071.jpg,,Street Photography,review,Street Photography,0.5984,Music Photography,0.1988,
test2024-072.jpg,,Street Photography,review,Street Photography,0.6606,Portrait Photography,0.2832,
test2024-073.jpg,,Street Photography,auto,Street Photography,0.9135,Portrait Photography,0.0590,
test2024-074.jpg,,Street Photography,auto,Street Photography,0.9433,Portrait Photography,0.0545,
test2024-075.jpg,,Portrait Photography,review,Portrait Photography,0.6421,Street Photography,0.2851,
test2024-076.jpg,,Street Photography,review,Street Photography,0.4160,Portrait Photography,0.3351,
test2024-077.jpg,,Portrait Photography,review,Portrait Photography,0.3297,Street Photography,0.2558,
test2024-078.jpg,,Street Photography,auto,Street Photography,0.8884,Nature Photography,0.0941,
test2024-079.jpg,,Nature Photography,review,Nature Photography,0.6175,Street Photography,0.3161,
test2024-080.jpg,,Street Photography,review,Street Photography,0.7436,Nature Photography,0.1443,
test2024-081.jpg,,Nature Photography,review,Nature Photography,0.7384,Portrait Photography,0.1313,
test2024-082.jpg,,Street Photography,review,Street Photography,0.6732,Nature Photography,0.2585,
test2024-083.jpg,,Street Photography,review,Street Photography,0.6885,Portrait Photography,0.2704,
test2024-084.jpg,,Street Photography,review,Street Photography,0.5284,Portrait Photography,0.4074,
test2024-085.jpg,,Street Photography,auto,Street Photography,0.9101,Portrait Photography,0.0893,
test2024-086.jpg,,Street Photography,auto,Street Photography,0.9727,Portrait Photography,0.0261,
test2024-087.jpg,,Street Photography,auto,Street Photography,0.9922,Portrait Photography,0.0074,
test2024-088.jpg,,Street Photography,auto,Street Photography,0.9760,Nature Photography,0.0181,
test2024-089.jpg,,Street Photography,review,Street Photography,0.7033,Nature Photography,0.2631,
test2024-090.jpg,,Nature Photography,auto,Nature Photography,0.9610,Portrait Photography,0.0306,
test2024-091.jpg,,Nature Photography,review,Nature Photography,0.4470,Street Photography,0.3690,
test2024-092.jpg,,Nature Photography,review,Nature Photography,0.7482,Portrait Photography,0.2184,
test2024-093.jpg,,Street Photography,auto,Street Photography,0.8681,Portrait Photography,0.0723,
test2024-094.jpg,,Street Photography,auto,Street Photography,0.8882,Portrait Photography,0.0836,
test2024-095.jpg,,Street Photography,auto,Street Photography,0.9496,Nature Photography,0.0336,
test2024-096.jpg,,Street Photography,review,Street Photography,0.7122,Nature Photography,0.1388,
test2024-097.jpg,,Street Photography,auto,Street Photography,0.8746,Portrait Photography,0.1174,
test2024-098.jpg,,Street Photography,review,Street Photography,0.5803,Portrait Photography,0.2074,
